hour,addtocart_count,transaction_count,view_count,total_event_count
2015-05-05 11:00:00,1,0,114,115
2015-05-05 12:00:00,2,1,233,236
2015-05-05 13:00:00,7,3,359,369
2015-05-05 14:00:00,15,6,664,685
2015-05-05 15:00:00,19,11,1060,1090
2015-05-05 16:00:00,32,20,1410,1462
2015-05-05 17:00:00,38,15,1434,1487
2015-05-05 18:00:00,54,27,1502,1583
2015-05-05 19:00:00,39,18,1509,1566
2015-05-05 20:00:00,52,12,1492,1556
2015-05-05 21:00:00,15,15,854,884
2015-05-05 22:00:00,39,11,1572,1622
2015-05-05 23:00:00,65,25,1379,1469
2015-05-06 00:00:00,45,16,1273,1334
2015-05-06 01:00:00,32,18,1210,1260
2015-05-06 02:00:00,30,8,1229,1267
2015-05-06 03:00:00,31,5,1284,1320
2015-05-06 04:00:00,27,12,1292,1331
2015-05-06 05:00:00,28,2,958,988
2015-05-06 06:00:00,15,3,650,668
2015-05-06 07:00:00,5,1,299,305
2015-05-06 08:00:00,10,0,158,168
2015-05-06 09:00:00,3,0,126,129
2015-05-06 10:00:00,5,1,98,104
2015-05-06 11:00:00,4,5,162,171
2015-05-06 12:00:00,4,0,274,278
2015-05-06 13:00:00,11,2,401,414
2015-05-06 14:00:00,17,4,730,751
2015-05-06 15:00:00,41,26,1126,1193
2015-05-06 16:00:00,45,24,1444,1513
2015-05-06 17:00:00,65,21,1462,1548
2015-05-06 18:00:00,42,23,1489,1554
2015-05-06 19:00:00,45,18,1518,1581
2015-05-06 20:00:00,34,21,1620,1675
2015-05-06 21:00:00,41,14,1530,1585
2015-05-06 22:00:00,26,14,1433,1473
2015-05-06 23:00:00,41,20,1249,1310
2015-05-07 00:00:00,27,15,1181,1223
2015-05-07 01:00:00,25,10,1173,1208
2015-05-07 02:00:00,32,10,1232,1274
2015-05-07 03:00:00,35,7,1167,1209
2015-05-07 04:00:00,27,4,1285,1316
2015-05-07 05:00:00,20,4,963,987
2015-05-07 06:00:00,12,7,640,659
2015-05-07 07:00:00,10,4,296,310
2015-05-07 08:00:00,4,1,174,179
2015-05-07 09:00:00,0,0,132,132
2015-05-07 10:00:00,0,0,108,108
2015-05-07 11:00:00,0,0,130,130
2015-05-07 12:00:00,2,0,241,243
2015-05-07 13:00:00,7,3,340,350
2015-05-07 14:00:00,11,6,652,669
2015-05-07 15:00:00,32,22,1144,1198
2015-05-07 16:00:00,31,13,1358,1402
2015-05-07 17:00:00,44,11,1415,1470
2015-05-07 18:00:00,60,10,1602,1672
2015-05-07 19:00:00,71,33,1513,1617
2015-05-07 20:00:00,42,22,1631,1695
2015-05-07 21:00:00,40,16,1385,1441
2015-05-07 22:00:00,27,11,1403,1441
2015-05-07 23:00:00,19,8,1204,1231
2015-05-08 00:00:00,29,5,1137,1171
2015-05-08 01:00:00,28,4,1064,1096
2015-05-08 02:00:00,37,17,1015,1069
2015-05-08 03:00:00,28,18,1031,1077
2015-05-08 04:00:00,19,3,1044,1066
2015-05-08 05:00:00,19,6,805,830
2015-05-08 06:00:00,16,3,514,533
2015-05-08 07:00:00,3,0,276,279
2015-05-08 08:00:00,5,0,126,131
2015-05-08 09:00:00,0,0,121,121
2015-05-08 10:00:00,5,0,87,92
2015-05-08 11:00:00,1,0,201,202
2015-05-08 12:00:00,6,0,285,291
2015-05-08 13:00:00,30,1,449,480
2015-05-08 14:00:00,32,1,649,682
2015-05-08 15:00:00,23,4,898,925
2015-05-08 16:00:00,26,5,1195,1226
2015-05-08 17:00:00,32,6,1128,1166
2015-05-08 18:00:00,34,6,1246,1286
2015-05-08 19:00:00,45,4,1190,1239
2015-05-08 20:00:00,42,18,1254,1314
2015-05-08 21:00:00,32,9,1156,1197
2015-05-08 22:00:00,19,11,1002,1032
2015-05-08 23:00:00,21,5,893,919
2015-05-09 00:00:00,36,5,918,959
2015-05-09 01:00:00,28,4,941,973
2015-05-09 02:00:00,50,8,975,1033
2015-05-09 03:00:00,10,11,871,892
2015-05-09 04:00:00,17,4,912,933
2015-05-09 05:00:00,6,0,674,680
2015-05-09 06:00:00,11,0,428,439
2015-05-09 07:00:00,2,0,286,288
2015-05-09 08:00:00,8,6,175,189
2015-05-09 09:00:00,0,0,97,97
2015-05-09 10:00:00,0,0,99,99
2015-05-09 11:00:00,3,0,133,136
2015-05-09 12:00:00,1,0,177,178
2015-05-09 13:00:00,2,0,220,222
2015-05-09 14:00:00,7,0,329,336
2015-05-09 15:00:00,9,3,525,537
2015-05-09 16:00:00,9,2,493,504
2015-05-09 17:00:00,11,3,500,514
2015-05-09 18:00:00,10,5,608,623
2015-05-09 19:00:00,8,0,619,627
2015-05-09 20:00:00,9,5,571,585
2015-05-09 21:00:00,10,2,542,554
2015-05-09 22:00:00,17,2,559,578
2015-05-09 23:00:00,15,3,701,719
2015-05-10 00:00:00,36,3,531,570
2015-05-10 01:00:00,16,6,639,661
2015-05-10 02:00:00,50,3,594,647
2015-05-10 03:00:00,9,2,543,554
2015-05-10 04:00:00,11,2,555,568
2015-05-10 05:00:00,3,0,435,438
2015-05-10 06:00:00,9,1,321,331
2015-05-10 07:00:00,3,0,213,216
2015-05-10 08:00:00,1,0,140,141
2015-05-10 09:00:00,1,0,111,112
2015-05-10 10:00:00,0,0,69,69
2015-05-10 11:00:00,3,0,71,74
2015-05-10 12:00:00,5,3,128,136
2015-05-10 13:00:00,8,3,255,266
2015-05-10 14:00:00,7,1,413,421
2015-05-10 15:00:00,9,3,552,564
2015-05-10 16:00:00,11,4,653,668
2015-05-10 17:00:00,18,1,727,746
2015-05-10 18:00:00,24,1,838,863
2015-05-10 19:00:00,25,6,843,874
2015-05-10 20:00:00,14,8,809,831
2015-05-10 21:00:00,15,6,750,771
2015-05-10 22:00:00,12,5,788,805
2015-05-10 23:00:00,22,2,793,817
2015-05-11 00:00:00,19,5,802,826
2015-05-11 01:00:00,18,4,794,816
2015-05-11 02:00:00,10,3,885,898
2015-05-11 03:00:00,12,4,924,940
2015-05-11 04:00:00,31,8,852,891
2015-05-11 05:00:00,19,4,735,758
2015-05-11 06:00:00,10,2,540,552
2015-05-11 07:00:00,4,0,288,292
2015-05-11 08:00:00,1,0,202,203
2015-05-11 09:00:00,3,1,107,111
2015-05-11 10:00:00,1,0,103,104
2015-05-11 11:00:00,7,0,143,150
2015-05-11 12:00:00,2,0,171,173
2015-05-11 13:00:00,9,0,260,269
2015-05-11 14:00:00,40,2,458,500
2015-05-11 15:00:00,3,0,625,628
2015-05-11 16:00:00,15,3,878,896
2015-05-11 17:00:00,18,4,997,1019
2015-05-11 18:00:00,24,7,998,1029
2015-05-11 19:00:00,29,8,1113,1150
2015-05-11 20:00:00,24,10,944,978
2015-05-11 21:00:00,28,4,1011,1043
2015-05-11 22:00:00,46,9,931,986
2015-05-11 23:00:00,17,6,943,966
2015-05-12 00:00:00,26,6,1033,1065
2015-05-12 01:00:00,27,7,1076,1110
2015-05-12 02:00:00,26,10,1166,1202
2015-05-12 03:00:00,26,3,1251,1280
2015-05-12 04:00:00,15,0,1192,1207
2015-05-12 05:00:00,17,2,798,817
2015-05-12 06:00:00,7,1,421,429
2015-05-12 07:00:00,6,1,308,315
2015-05-12 08:00:00,0,0,153,153
2015-05-12 09:00:00,2,1,107,110
2015-05-12 10:00:00,0,0,129,129
2015-05-12 11:00:00,4,0,130,134
2015-05-12 12:00:00,1,2,208,211
2015-05-12 13:00:00,10,2,385,397
2015-05-12 14:00:00,11,6,615,632
2015-05-12 15:00:00,29,20,987,1036
2015-05-12 16:00:00,48,15,1265,1328
2015-05-12 17:00:00,47,15,1418,1480
2015-05-12 18:00:00,71,17,1462,1550
2015-05-12 19:00:00,41,17,1478,1536
2015-05-12 20:00:00,37,14,1552,1603
2015-05-12 21:00:00,48,19,1528,1595
2015-05-12 22:00:00,43,8,1507,1558
2015-05-12 23:00:00,35,20,1442,1497
2015-05-13 00:00:00,37,9,1103,1149
2015-05-13 01:00:00,24,6,1125,1155
2015-05-13 02:00:00,25,5,1195,1225
2015-05-13 03:00:00,26,6,1242,1274
2015-05-13 04:00:00,11,2,1060,1073
2015-05-13 05:00:00,20,5,867,892
2015-05-13 06:00:00,10,8,582,600
2015-05-13 07:00:00,4,1,309,314
2015-05-13 08:00:00,1,0,150,151
2015-05-13 09:00:00,2,0,113,115
2015-05-13 10:00:00,1,0,139,140
2015-05-13 11:00:00,3,1,145,149
2015-05-13 12:00:00,2,1,210,213
2015-05-13 13:00:00,3,2,331,336
2015-05-13 14:00:00,10,2,738,750
2015-05-13 15:00:00,35,10,1150,1195
2015-05-13 16:00:00,34,11,1245,1290
2015-05-13 17:00:00,39,23,1588,1650
2015-05-13 18:00:00,63,22,1454,1539
2015-05-13 19:00:00,38,11,1615,1664
2015-05-13 20:00:00,46,23,1817,1886
2015-05-13 21:00:00,47,20,1721,1788
2015-05-13 22:00:00,68,26,1650,1744
2015-05-13 23:00:00,35,14,1426,1475
2015-05-14 00:00:00,34,14,1234,1282
2015-05-14 01:00:00,25,2,1131,1158
2015-05-14 02:00:00,23,9,1309,1341
2015-05-14 03:00:00,29,6,1212,1247
2015-05-14 04:00:00,31,13,1336,1380
2015-05-14 05:00:00,24,10,971,1005
2015-05-14 06:00:00,19,1,610,630
2015-05-14 07:00:00,5,3,324,332
2015-05-14 08:00:00,0,0,153,153
2015-05-14 09:00:00,2,2,111,115
2015-05-14 10:00:00,3,0,89,92
2015-05-14 11:00:00,1,0,83,84
2015-05-14 12:00:00,7,0,218,225
2015-05-14 13:00:00,11,4,452,467
2015-05-14 14:00:00,20,5,780,805
2015-05-14 15:00:00,36,10,1200,1246
2015-05-14 16:00:00,56,36,1371,1463
2015-05-14 17:00:00,58,19,1545,1622
2015-05-14 18:00:00,66,51,1614,1731
2015-05-14 19:00:00,53,15,1425,1493
2015-05-14 20:00:00,49,11,1619,1679
2015-05-14 21:00:00,62,27,1649,1738
2015-05-14 22:00:00,35,10,1474,1519
2015-05-14 23:00:00,20,8,1321,1349
2015-05-15 00:00:00,16,6,1122,1144
2015-05-15 01:00:00,9,7,1062,1078
2015-05-15 02:00:00,28,5,1041,1074
2015-05-15 03:00:00,23,8,1106,1137
2015-05-15 04:00:00,11,7,952,970
2015-05-15 05:00:00,27,13,967,1007
2015-05-15 06:00:00,14,17,525,556
2015-05-15 07:00:00,6,0,333,339
2015-05-15 08:00:00,12,1,201,214
2015-05-15 09:00:00,0,0,145,145
2015-05-15 10:00:00,6,2,121,129
2015-05-15 11:00:00,5,0,146,151
2015-05-15 12:00:00,10,2,250,262
2015-05-15 13:00:00,6,1,407,414
2015-05-15 14:00:00,13,2,650,665
2015-05-15 15:00:00,26,7,1053,1086
2015-05-15 16:00:00,30,7,1238,1275
2015-05-15 17:00:00,39,9,1417,1465
2015-05-15 18:00:00,50,20,1535,1605
2015-05-15 19:00:00,43,23,1467,1533
2015-05-15 20:00:00,47,9,1609,1665
2015-05-15 21:00:00,35,14,1510,1559
2015-05-15 22:00:00,29,14,1373,1416
2015-05-15 23:00:00,26,11,1268,1305
2015-05-16 00:00:00,27,14,1040,1081
2015-05-16 01:00:00,13,4,1012,1029
2015-05-16 02:00:00,21,5,1106,1132
2015-05-16 03:00:00,20,8,1139,1167
2015-05-16 04:00:00,17,2,969,988
2015-05-16 05:00:00,9,3,950,962
2015-05-16 06:00:00,8,0,592,600
2015-05-16 07:00:00,32,5,376,413
2015-05-16 08:00:00,20,1,180,201
2015-05-16 09:00:00,1,1,100,102
2015-05-16 10:00:00,1,1,95,97
2015-05-16 11:00:00,3,0,153,156
2015-05-16 12:00:00,3,0,209,212
2015-05-16 13:00:00,14,1,337,352
2015-05-16 14:00:00,9,2,475,486
2015-05-16 15:00:00,18,3,683,704
2015-05-16 16:00:00,20,7,901,928
2015-05-16 17:00:00,21,9,1099,1129
2015-05-16 18:00:00,16,11,1179,1206
2015-05-16 19:00:00,31,18,1376,1425
2015-05-16 20:00:00,23,3,1129,1155
2015-05-16 21:00:00,22,9,1221,1252
2015-05-16 22:00:00,32,11,1206,1249
2015-05-16 23:00:00,36,12,1239,1287
2015-05-17 00:00:00,52,14,1228,1294
2015-05-17 01:00:00,25,11,1208,1244
2015-05-17 02:00:00,28,11,1184,1223
2015-05-17 03:00:00,28,12,1184,1224
2015-05-17 04:00:00,14,10,946,970
2015-05-17 05:00:00,18,3,974,995
2015-05-17 06:00:00,11,0,692,703
2015-05-17 07:00:00,7,2,461,470
2015-05-17 08:00:00,1,0,222,223
2015-05-17 09:00:00,13,3,154,170
2015-05-17 10:00:00,0,1,125,126
2015-05-17 11:00:00,3,0,125,128
2015-05-17 12:00:00,1,0,189,190
2015-05-17 13:00:00,5,0,292,297
2015-05-17 14:00:00,10,0,609,619
2015-05-17 15:00:00,17,5,738,760
2015-05-17 16:00:00,22,14,957,993
2015-05-17 17:00:00,27,7,1245,1279
2015-05-17 18:00:00,28,13,1246,1287
2015-05-17 19:00:00,30,18,1306,1354
2015-05-17 20:00:00,39,13,1229,1281
2015-05-17 21:00:00,45,15,1223,1283
2015-05-17 22:00:00,43,12,1297,1352
2015-05-17 23:00:00,27,5,1382,1414
2015-05-18 00:00:00,30,9,1461,1500
2015-05-18 01:00:00,36,6,1609,1651
2015-05-18 02:00:00,33,14,1570,1617
2015-05-18 03:00:00,25,4,1356,1385
2015-05-18 04:00:00,19,10,1298,1327
2015-05-18 05:00:00,32,6,1060,1098
2015-05-18 06:00:00,30,6,732,768
2015-05-18 07:00:00,8,2,369,379
2015-05-18 08:00:00,1,0,184,185
2015-05-18 09:00:00,1,0,103,104
2015-05-18 10:00:00,1,0,88,89
2015-05-18 11:00:00,0,1,139,140
2015-05-18 12:00:00,3,0,241,244
2015-05-18 13:00:00,18,3,432,453
2015-05-18 14:00:00,14,8,669,691
2015-05-18 15:00:00,29,26,1117,1172
2015-05-18 16:00:00,42,19,1525,1586
2015-05-18 17:00:00,58,29,1650,1737
2015-05-18 18:00:00,43,20,1775,1838
2015-05-18 19:00:00,43,14,1783,1840
2015-05-18 20:00:00,58,17,1902,1977
2015-05-18 21:00:00,48,26,1921,1995
2015-05-18 22:00:00,43,10,1727,1780
2015-05-18 23:00:00,35,15,1478,1528
2015-05-19 00:00:00,32,7,1361,1400
2015-05-19 01:00:00,26,7,1381,1414
2015-05-19 02:00:00,29,9,1470,1508
2015-05-19 03:00:00,19,2,1461,1482
2015-05-19 04:00:00,20,3,1421,1444
2015-05-19 05:00:00,31,6,970,1007
2015-05-19 06:00:00,18,2,631,651
2015-05-19 07:00:00,16,3,316,335
2015-05-19 08:00:00,3,1,233,237
2015-05-19 09:00:00,3,0,128,131
2015-05-19 10:00:00,3,0,160,163
2015-05-19 11:00:00,2,0,167,169
2015-05-19 12:00:00,4,0,276,280
2015-05-19 13:00:00,6,1,459,466
2015-05-19 14:00:00,7,2,742,751
2015-05-19 15:00:00,39,7,1200,1246
2015-05-19 16:00:00,30,17,1373,1420
2015-05-19 17:00:00,66,17,1759,1842
2015-05-19 18:00:00,53,13,1588,1654
2015-05-19 19:00:00,52,16,1814,1882
2015-05-19 20:00:00,59,27,1936,2022
2015-05-19 21:00:00,59,22,1795,1876
2015-05-19 22:00:00,42,21,1843,1906
2015-05-19 23:00:00,35,13,1465,1513
2015-05-20 00:00:00,15,7,1186,1208
2015-05-20 01:00:00,38,6,1200,1244
2015-05-20 02:00:00,14,5,1322,1341
2015-05-20 03:00:00,38,7,1394,1439
2015-05-20 04:00:00,30,4,1286,1320
2015-05-20 05:00:00,17,4,995,1016
2015-05-20 06:00:00,2,0,465,467
2015-05-20 07:00:00,3,2,336,341
2015-05-20 08:00:00,1,0,143,144
2015-05-20 09:00:00,8,0,123,131
2015-05-20 10:00:00,0,0,99,99
2015-05-20 11:00:00,3,2,128,133
2015-05-20 12:00:00,2,0,225,227
2015-05-20 13:00:00,3,2,413,418
2015-05-20 14:00:00,3,1,668,672
2015-05-20 15:00:00,17,5,1015,1037
2015-05-20 16:00:00,18,5,1210,1233
2015-05-20 17:00:00,15,8,1262,1285
2015-05-20 18:00:00,25,3,1256,1284
2015-05-20 19:00:00,25,12,1334,1371
2015-05-20 20:00:00,59,15,1493,1567
2015-05-20 21:00:00,29,15,1576,1620
2015-05-20 22:00:00,37,12,1317,1366
2015-05-20 23:00:00,21,10,1242,1273
2015-05-21 00:00:00,56,12,1256,1324
2015-05-21 01:00:00,88,5,1252,1345
2015-05-21 02:00:00,37,11,1187,1235
2015-05-21 03:00:00,21,4,1225,1250
2015-05-21 04:00:00,31,2,1119,1152
2015-05-21 05:00:00,18,6,927,951
2015-05-21 06:00:00,10,0,545,555
2015-05-21 07:00:00,5,1,294,300
2015-05-21 08:00:00,1,1,181,183
2015-05-21 09:00:00,4,1,119,124
2015-05-21 10:00:00,0,0,123,123
2015-05-21 11:00:00,3,0,154,157
2015-05-21 12:00:00,12,4,219,235
2015-05-21 13:00:00,4,2,372,378
2015-05-21 14:00:00,10,2,668,680
2015-05-21 15:00:00,31,5,1063,1099
2015-05-21 16:00:00,37,7,1287,1331
2015-05-21 17:00:00,37,26,1414,1477
2015-05-21 18:00:00,20,8,1230,1258
2015-05-21 19:00:00,19,9,1144,1172
2015-05-21 20:00:00,48,8,1367,1423
2015-05-21 21:00:00,18,10,1442,1470
2015-05-21 22:00:00,23,5,1315,1343
2015-05-21 23:00:00,19,2,1090,1111
2015-05-22 00:00:00,41,6,1062,1109
2015-05-22 01:00:00,20,0,921,941
2015-05-22 02:00:00,8,7,1198,1213
2015-05-22 03:00:00,19,1,1098,1118
2015-05-22 04:00:00,14,2,1114,1130
2015-05-22 05:00:00,16,10,985,1011
2015-05-22 06:00:00,15,4,574,593
2015-05-22 07:00:00,2,2,287,291
2015-05-22 08:00:00,4,0,158,162
2015-05-22 09:00:00,0,0,80,80
2015-05-22 10:00:00,1,1,133,135
2015-05-22 11:00:00,3,3,151,157
2015-05-22 12:00:00,8,2,227,237
2015-05-22 13:00:00,8,4,456,468
2015-05-22 14:00:00,9,4,737,750
2015-05-22 15:00:00,24,6,1060,1090
2015-05-22 16:00:00,45,7,1351,1403
2015-05-22 17:00:00,37,10,1286,1333
2015-05-22 18:00:00,49,13,1323,1385
2015-05-22 19:00:00,30,14,1354,1398
2015-05-22 20:00:00,38,26,1464,1528
2015-05-22 21:00:00,29,23,1335,1387
2015-05-22 22:00:00,23,5,1116,1144
2015-05-22 23:00:00,20,4,976,1000
2015-05-23 00:00:00,21,8,1020,1049
2015-05-23 01:00:00,34,14,1016,1064
2015-05-23 02:00:00,21,5,959,985
2015-05-23 03:00:00,13,3,972,988
2015-05-23 04:00:00,16,6,868,890
2015-05-23 05:00:00,17,5,723,745
2015-05-23 06:00:00,6,5,466,477
2015-05-23 07:00:00,6,3,297,306
2015-05-23 08:00:00,2,2,137,141
2015-05-23 09:00:00,7,0,95,102
2015-05-23 10:00:00,2,1,101,104
2015-05-23 11:00:00,2,0,115,117
2015-05-23 12:00:00,2,0,173,175
2015-05-23 13:00:00,7,2,310,319
2015-05-23 14:00:00,9,1,406,416
2015-05-23 15:00:00,12,6,674,692
2015-05-23 16:00:00,23,5,733,761
2015-05-23 17:00:00,11,6,867,884
2015-05-23 18:00:00,15,4,1073,1092
2015-05-23 19:00:00,22,9,1009,1040
2015-05-23 20:00:00,18,6,923,947
2015-05-23 21:00:00,37,9,1049,1095
2015-05-23 22:00:00,29,7,920,956
2015-05-23 23:00:00,25,6,1032,1063
2015-05-24 00:00:00,22,8,915,945
2015-05-24 01:00:00,23,6,978,1007
2015-05-24 02:00:00,22,5,949,976
2015-05-24 03:00:00,17,7,922,946
2015-05-24 04:00:00,10,2,908,920
2015-05-24 05:00:00,10,5,824,839
2015-05-24 06:00:00,8,1,589,598
2015-05-24 07:00:00,4,0,275,279
2015-05-24 08:00:00,1,0,219,220
2015-05-24 09:00:00,1,0,130,131
2015-05-24 10:00:00,2,1,113,116
2015-05-24 11:00:00,0,0,121,121
2015-05-24 12:00:00,1,0,176,177
2015-05-24 13:00:00,1,0,333,334
2015-05-24 14:00:00,7,2,575,584
2015-05-24 15:00:00,12,5,683,700
2015-05-24 16:00:00,27,7,850,884
2015-05-24 17:00:00,19,7,967,993
2015-05-24 18:00:00,20,6,983,1009
2015-05-24 19:00:00,20,11,1035,1066
2015-05-24 20:00:00,33,8,1030,1071
2015-05-24 21:00:00,20,5,1061,1086
2015-05-24 22:00:00,20,5,1086,1111
2015-05-24 23:00:00,20,6,1109,1135
2015-05-25 00:00:00,27,4,1064,1095
2015-05-25 01:00:00,21,5,1068,1094
2015-05-25 02:00:00,24,10,1087,1121
2015-05-25 03:00:00,17,10,1104,1131
2015-05-25 04:00:00,18,4,1055,1077
2015-05-25 05:00:00,16,2,862,880
2015-05-25 06:00:00,8,7,560,575
2015-05-25 07:00:00,12,1,319,332
2015-05-25 08:00:00,3,0,140,143
2015-05-25 09:00:00,1,0,114,115
2015-05-25 10:00:00,1,0,90,91
2015-05-25 11:00:00,3,0,154,157
2015-05-25 12:00:00,2,0,200,202
2015-05-25 13:00:00,4,2,343,349
2015-05-25 14:00:00,11,1,581,593
2015-05-25 15:00:00,23,7,1121,1151
2015-05-25 16:00:00,37,9,1448,1494
2015-05-25 17:00:00,57,14,1642,1713
2015-05-25 18:00:00,54,20,1643,1717
2015-05-25 19:00:00,57,12,1638,1707
2015-05-25 20:00:00,44,10,1694,1748
2015-05-25 21:00:00,55,23,1902,1980
2015-05-25 22:00:00,49,20,1749,1818
2015-05-25 23:00:00,35,17,1528,1580
2015-05-26 00:00:00,34,1,1200,1235
2015-05-26 01:00:00,26,11,1202,1239
2015-05-26 02:00:00,27,15,1247,1289
2015-05-26 03:00:00,27,4,1258,1289
2015-05-26 04:00:00,34,10,1144,1188
2015-05-26 05:00:00,12,2,1121,1135
2015-05-26 06:00:00,10,2,649,661
2015-05-26 07:00:00,4,1,275,280
2015-05-26 08:00:00,1,0,172,173
2015-05-26 09:00:00,1,0,85,86
2015-05-26 10:00:00,0,0,116,116
2015-05-26 11:00:00,2,0,144,146
2015-05-26 12:00:00,3,0,302,305
2015-05-26 13:00:00,13,1,442,456
2015-05-26 14:00:00,21,9,750,780
2015-05-26 15:00:00,38,11,1081,1130
2015-05-26 16:00:00,31,13,1252,1296
2015-05-26 17:00:00,44,18,972,1034
2015-05-26 18:00:00,17,5,531,553
2015-05-26 19:00:00,46,14,1496,1556
2015-05-26 20:00:00,55,20,1663,1738
2015-05-26 21:00:00,73,29,1607,1709
2015-05-26 22:00:00,27,11,1375,1413
2015-05-26 23:00:00,35,17,1138,1190
2015-05-27 00:00:00,14,5,940,959
2015-05-27 01:00:00,26,8,969,1003
2015-05-27 02:00:00,19,12,1002,1033
2015-05-27 03:00:00,35,3,1153,1191
2015-05-27 04:00:00,35,14,1099,1148
2015-05-27 05:00:00,23,5,849,877
2015-05-27 06:00:00,23,7,505,535
2015-05-27 07:00:00,1,1,246,248
2015-05-27 08:00:00,0,0,154,154
2015-05-27 09:00:00,0,0,115,115
2015-05-27 10:00:00,1,0,116,117
2015-05-27 11:00:00,1,0,122,123
2015-05-27 12:00:00,3,0,248,251
2015-05-27 13:00:00,9,2,373,384
2015-05-27 14:00:00,18,7,659,684
2015-05-27 15:00:00,25,16,1100,1141
2015-05-27 16:00:00,37,9,1417,1463
2015-05-27 17:00:00,58,18,1544,1620
2015-05-27 18:00:00,36,22,1491,1549
2015-05-27 19:00:00,20,9,1593,1622
2015-05-27 20:00:00,26,10,1472,1508
2015-05-27 21:00:00,49,25,1525,1599
2015-05-27 22:00:00,37,11,1340,1388
2015-05-27 23:00:00,32,13,1179,1224
2015-05-28 00:00:00,19,9,1003,1031
2015-05-28 01:00:00,30,9,1007,1046
2015-05-28 02:00:00,40,13,1005,1058
2015-05-28 03:00:00,35,25,1103,1163
2015-05-28 04:00:00,16,3,1138,1157
2015-05-28 05:00:00,20,3,922,945
2015-05-28 06:00:00,12,3,571,586
2015-05-28 07:00:00,5,1,254,260
2015-05-28 08:00:00,2,0,139,141
2015-05-28 09:00:00,0,0,85,85
2015-05-28 10:00:00,2,0,99,101
2015-05-28 11:00:00,3,0,128,131
2015-05-28 12:00:00,3,1,241,245
2015-05-28 13:00:00,5,0,358,363
2015-05-28 14:00:00,10,4,644,658
2015-05-28 15:00:00,21,5,1069,1095
2015-05-28 16:00:00,43,10,1260,1313
2015-05-28 17:00:00,46,25,1517,1588
2015-05-28 18:00:00,49,18,1521,1588
2015-05-28 19:00:00,63,17,1525,1605
2015-05-28 20:00:00,58,23,1496,1577
2015-05-28 21:00:00,30,19,1553,1602
2015-05-28 22:00:00,42,29,1347,1418
2015-05-28 23:00:00,28,8,1230,1266
2015-05-29 00:00:00,30,8,1178,1216
2015-05-29 01:00:00,17,3,964,984
2015-05-29 02:00:00,24,5,990,1019
2015-05-29 03:00:00,19,6,1093,1118
2015-05-29 04:00:00,11,3,909,923
2015-05-29 05:00:00,16,1,674,691
2015-05-29 06:00:00,10,1,464,475
2015-05-29 07:00:00,4,0,333,337
2015-05-29 08:00:00,1,1,184,186
2015-05-29 09:00:00,0,0,87,87
2015-05-29 10:00:00,1,1,106,108
2015-05-29 11:00:00,1,0,141,142
2015-05-29 12:00:00,5,1,277,283
2015-05-29 13:00:00,11,1,519,531
2015-05-29 14:00:00,18,7,632,657
